Time,Day,Day,Day,Day,Day,Day,Night,Night,Night,Night,Night,Night,Average UCYN-A Day,Average Whole Culture Day,Average UCYN-A Night,Average Whole Culture Night,logFC_Day,logFC_Night,Pvalue_Day,Pvalue_Night,Significant_Day,Significant_Night,Sequence source
BDA39177.1,13130.44824,8956.698242,9568.223633,NaN,7764.763184,NaN,6732.759277,6174.124023,5388.077148,1226.177856,NaN,NaN,28377.52213,7764.763184,6098.320149,1226.177856,1.904895811,4.11881163,0.492250827,0.167607754,Not significant,Not significant,UCYN-A genome
BDA39178.1,1958.162109,20742.37695,62432.02734,NaN,NaN,NaN,135197.1094,18130.79297,5781.132813,NaN,NaN,NaN,170293.5651,NaN,53036.34506,NaN,17.49076888,18.64525968,3.28767E-07,7.21682E-09,UCYN-A,UCYN-A,UCYN-A genome
BDA39179.1,87888.83594,202027.1563,220964.7031,44121.16406,58466.10938,45206.44922,66441.23438,54172.14453,62931.84375,43630.49219,47545.20703,34458.92188,82890.58204,49264.57422,61181.74089,41878.20703,1.545331539,0.79855348,0.253077457,0.547153414,Not significant,Not significant,UCYN-A genome
BDA39180.1,54547.46484,90810.85938,103313.4219,23702.33203,21018.37109,12178.8584,66436.32813,53645.21094,59260.10547,10381.54492,9704.6875,10229.94336,8844.580891,18966.52051,59780.54818,10105.39193,1.942142479,2.80217033,0.168344457,0.052102812,Not significant,Not significant,UCYN-A genome
BDA39181.1,5708.405762,12146.44824,8678.888672,NaN,NaN,NaN,3564.883545,2501.350586,3222.266602,NaN,NaN,NaN,338835.3073,NaN,3096.166911,NaN,16.02517933,14.73708658,1.4601E-06,1.46526E-05,UCYN-A,UCYN-A,UCYN-A genome
BDA39184.1,246248.0469,415467.4063,354790.4688,346346.8438,200629.2031,238616.4531,1067127.125,1229356,971014.0625,554769.1875,672866.875,628041.5,69471.04558,261864.1667,1089165.729,618559.1875,0.212394336,1.050739517,0.869332216,0.414786538,Not significant,Not significant,UCYN-A genome
BDA39185.1,107386.6719,57161.84766,43864.61719,NaN,NaN,NaN,102459.0469,129535.9844,109149.2734,NaN,NaN,NaN,82978.4336,NaN,113714.7682,NaN,19.17021657,19.93723533,1.98762E-10,3.66656E-12,UCYN-A,UCYN-A,UCYN-A genome
BDA39188.1,34212.87109,107348.3828,107374.0469,34382.78516,38012.19141,36622.99609,27942.21094,20583.58008,27697.46875,28329.96875,40822.60938,30423.68359,7240.236003,36339.32422,25407.75326,33192.08724,0.929979378,-0.126420561,0.490596849,0.926594084,Not significant,Not significant,UCYN-A genome
BDA39189.1,9369.743164,6531.131348,5819.833496,NaN,NaN,NaN,15480.55273,18058.32422,14704.58301,12968.08984,NaN,NaN,66765.53386,NaN,16081.15332,12968.08984,15.85620338,2.125686453,2.3522E-06,0.436975487,UCYN-A,Not significant,UCYN-A genome
BDA39192.1,52451.51563,71765.17188,76079.91406,82944.51563,35733.22656,35283.91016,73173.96875,56591.02734,63659.10156,65998.66406,83650.94531,78234.85938,136547.5013,51320.55078,64474.69922,75961.48958,0.246985269,0.002805593,0.853431001,0.998267876,Not significant,Not significant,UCYN-A genome
BDA39194.1,57651.20703,157879.8906,194111.4063,30400.92773,28866.40625,31217.94141,65122.11719,52391.41406,60619.69531,37621.38281,46092.70313,51178.25781,3868.806885,30161.75846,59377.74219,44964.11458,1.910937398,0.642264833,0.17137312,0.627957359,Not significant,Not significant,UCYN-A genome
BDA39195.1,8396.779297,2580.578369,629.0629883,NaN,NaN,NaN,15697.46387,18586.97461,4844.439941,NaN,49556.27344,NaN,978.1478271,NaN,13042.95947,49556.27344,15.12751095,-0.112072361,5.63556E-05,0.966451683,UCYN-A,Not significant,UCYN-A genome
BDA39196.1,978.1478271,NaN,NaN,NaN,NaN,NaN,885.0847168,860.6150513,521.8475342,NaN,NaN,NaN,4650.232259,NaN,755.8491008,NaN,11.67970892,12.65823556,0.125791654,0.000100943,Not significant,UCYN-A,UCYN-A genome
BDA39200.1,4860.219727,5901.295898,3189.181152,NaN,NaN,NaN,2205.747803,4278.128906,3609.869385,NaN,NaN,NaN,5921.581706,NaN,3364.582031,NaN,15.18756795,14.88325377,1.88502E-05,1.05933E-05,UCYN-A,UCYN-A,UCYN-A genome
BDA39207.1,4385.936523,7029.324219,6349.484375,NaN,NaN,NaN,NaN,1218.322266,268.3248291,NaN,NaN,NaN,3247.311035,NaN,743.3235476,NaN,15.45477958,12.08473418,5.87065E-06,0.00598406,UCYN-A,UCYN-A,UCYN-A genome
BDA39209.1,3247.311035,NaN,NaN,NaN,NaN,NaN,1786.869141,1987.882324,NaN,NaN,NaN,NaN,838.454361,NaN,1887.375733,NaN,13.41054905,13.29045451,0.063491055,0.002931113,Not significant,UCYN-A,UCYN-A genome
BDA39213.1,1414.479248,262.4294739,NaN,NaN,NaN,NaN,2003.836792,1046.115845,1423.371948,NaN,NaN,NaN,204376.4688,NaN,1491.108195,NaN,12.39634102,13.66356822,0.029705889,4.892E-05,UCYN-A,UCYN-A,UCYN-A genome
BDA39214.1,151932.9688,173771.875,287424.5625,44878.42188,29881.59961,24147.97266,233261.75,168638.9219,173499.8438,44795.57031,48861.08594,72383.63281,4616.494512,32969.33138,191800.1719,55346.76302,2.452070699,2.007275394,0.077179429,0.133780049,Not significant,Not significant,UCYN-A genome
BDA39216.1,2039.139771,11809.12402,1.219744682,NaN,NaN,NaN,1126.721802,1530.571411,1861.505005,NaN,NaN,NaN,8554.1062,NaN,1506.266073,NaN,15.13498786,13.73935245,0.000474821,4.82799E-05,UCYN-A,UCYN-A,UCYN-A genome
BDA39218.1,3861.942627,2701.573242,19098.80273,NaN,NaN,NaN,102727.8203,194247.8438,158603,NaN,NaN,NaN,63766.38639,NaN,151859.5547,NaN,15.83102915,20.37499486,4.19269E-06,2.44008E-12,UCYN-A,UCYN-A,UCYN-A genome
BDA39220.1,9491.151367,109783.6406,72024.36719,756701.75,891015,116762.5625,7384.672363,7910.426758,8552.083008,NaN,NaN,NaN,9257.778646,588159.7708,7949.06071,NaN,-3.456525417,16.11170751,0.026104203,1.76362E-06,Whole culture,UCYN-A,UCYN-A genome
BDA39221.1,5270.757324,20384.75,2117.828613,NaN,NaN,NaN,13269.78809,12647.91113,6604.931641,NaN,NaN,NaN,13408.9043,NaN,10840.87695,NaN,16.14102258,16.48740874,2.61117E-06,7.00683E-07,UCYN-A,UCYN-A,UCYN-A genome
BDA39227.1,20661.03125,11167.09473,8398.586914,NaN,NaN,NaN,6528.939453,8829.03125,9996.90625,29855.83203,NaN,NaN,6014.820841,NaN,8451.625651,29855.83203,16.7966416,0.035901388,3.78079E-07,0.98945633,UCYN-A,Not significant,UCYN-A genome
BDA39228.1,14906.18164,2479.078857,659.2020264,NaN,NaN,NaN,2458.281494,3060.979492,4118.019043,25232.24609,NaN,NaN,18335.02995,NaN,3212.426676,25232.24609,15.80956039,-1.104710927,1.44114E-05,0.695923505,UCYN-A,Not significant,UCYN-A genome
BDA39229.1,11734.06055,17765.75195,25505.27734,NaN,NaN,NaN,29769.32617,21334.00781,20984.01172,9882.982422,NaN,NaN,75369.9707,NaN,24029.11523,9882.982422,17.04082952,3.079230091,1.33411E-07,0.26095683,UCYN-A,Not significant,UCYN-A genome
BDA39230.1,183821.1875,25860.45703,16428.26758,NaN,682146.0625,412696.5625,52873.6875,53701.96094,49684.72266,62036.46094,NaN,NaN,24952.04427,547421.3125,52086.79037,62036.46094,-2.20199639,1.565602552,1,0.539106544,Not significant,Not significant,UCYN-A genome
BDA39231.1,28456.6582,9790.189453,36609.28516,NaN,NaN,NaN,6546.716309,3716.192871,13041.69238,30293.77734,NaN,NaN,4123.728027,NaN,7768.20052,30293.77734,17.56352406,-0.051294926,8.67487E-08,0.98506446,UCYN-A,Not significant,UCYN-A genome
BDA39232.1,2499.181641,4882.656738,4989.345703,NaN,NaN,NaN,4452.957031,1925.24231,1056.727417,7541.885254,NaN,NaN,36185.68978,NaN,2478.308919,7541.885254,14.89809202,0.107782303,6.42762E-05,0.969517062,UCYN-A,Not significant,UCYN-A genome
BDA39233.1,92575.45313,11135.22168,4846.394531,8968.179688,15209.30078,5905.866211,9741.646484,10558.99316,13226.90918,55255.88672,11602.11133,8332.208984,7025.238282,10027.78223,11175.84961,25063.40234,2.014948362,-0.892588402,0.216604112,0.564767507,Not significant,Not significant,UCYN-A genome
BDA39234.1,5164.175781,13746.02051,2165.518555,NaN,NaN,NaN,3370.822998,8659.354492,3750.710205,4101.302246,NaN,NaN,4122.597168,NaN,5260.295898,4101.302246,15.7633767,2.163991544,4.23553E-06,0.45036338,UCYN-A,Not significant,UCYN-A genome
BDA39235.1,4984.360352,NaN,3260.833984,NaN,NaN,NaN,804.604187,4161.693359,5832.69873,30719.01953,NaN,NaN,17435.92269,NaN,3599.665425,30719.01953,14.50904605,-1.161593079,0.004687071,0.686279667,UCYN-A,Not significant,UCYN-A genome
BDA39236.1,4965.559082,15273.68555,32068.52344,NaN,NaN,NaN,7238.811035,5704.938965,3105.369141,NaN,NaN,NaN,9142.876954,NaN,5349.70638,NaN,16.86401575,15.45865608,2.46213E-07,4.68858E-06,UCYN-A,UCYN-A,UCYN-A genome
BDA39237.1,16613.81641,5781.012695,5033.801758,NaN,NaN,NaN,4266.769531,4854.422363,5552.27832,11159.00098,NaN,NaN,49040.58594,NaN,4891.156738,11159.00098,16.29067377,0.656439264,1.581E-06,0.814400268,UCYN-A,Not significant,UCYN-A genome
BDA39238.1,42650.875,50424.39063,54046.49219,NaN,NaN,NaN,6332.665527,9390.176758,9559.107422,14398.88672,NaN,NaN,13957.83659,NaN,8427.316569,14398.88672,18.52376317,1.078868653,7.79993E-10,0.697067577,UCYN-A,Not significant,UCYN-A genome
BDA39239.1,14655.02539,12002.46777,15216.0166,NaN,NaN,NaN,7236.275391,6792.894043,8612.017578,10509.41504,NaN,NaN,6176.055176,NaN,7547.062337,10509.41504,16.74148554,1.365545881,2.67733E-07,0.622349742,UCYN-A,Not significant,UCYN-A genome
BDA39240.1,6856.608398,9725.72168,1945.835449,NaN,NaN,6092.483398,1722.589233,2338.459961,3229.27002,21200.99219,NaN,NaN,12007.37419,6092.483398,2430.106405,21200.99219,1.434072982,-1.248152664,0.611269745,0.664972174,Not significant,Not significant,UCYN-A genome
BDA39241.1,16136.80566,12941.16504,6944.151855,NaN,NaN,NaN,6693.788574,8885.8125,10818.25293,41715.17188,13996.6123,NaN,13628.44027,NaN,8799.284668,27855.89209,16.6111248,-0.780395148,5.83214E-07,0.715309393,UCYN-A,Not significant,UCYN-A genome
BDA39242.1,5654.689941,19403.06836,15827.5625,NaN,NaN,NaN,17767.1582,17161.94336,15613.39551,NaN,NaN,NaN,52569.05925,NaN,16847.49902,NaN,16.59358946,17.17135002,5.12123E-07,1.19488E-07,UCYN-A,UCYN-A,UCYN-A genome
BDA39243.1,116826.9297,22958.45117,17921.79688,12210.93066,234856.5,145626.8906,9138.108398,12292.3252,14394.35254,36387.0625,15950.61426,9201.439453,22482.31445,130898.1071,11941.59538,20513.03874,-1.274506467,-0.494806493,0.413967027,0.741609848,Not significant,Not significant,UCYN-A genome
BDA39244.1,30324.70703,19604.52344,17517.71289,NaN,NaN,NaN,40499.21875,42238.19141,34092.3125,NaN,NaN,NaN,17222.62793,NaN,38943.24089,NaN,17.5012826,18.37447855,7.00141E-08,1.2693E-09,UCYN-A,UCYN-A,UCYN-A genome
BDA39245.1,21515.00586,16788.96484,13363.91309,NaN,NaN,NaN,26838.03125,39845.875,35235.13672,18043.02734,NaN,22675.32227,7315.615296,NaN,33973.01432,20359.17481,17.10155626,1.54426544,1.2353E-07,0.450388963,UCYN-A,Not significant,UCYN-A genome
BDA39246.1,1084.721802,NaN,13546.50879,NaN,NaN,NaN,2407.07666,213.4992523,1659.513794,NaN,NaN,NaN,38169.47591,NaN,1426.696569,NaN,14.92326157,13.61007191,0.002246084,0.000105983,UCYN-A,UCYN-A,UCYN-A genome
BDA39249.1,12941.12305,52943.37891,48623.92578,NaN,100306.7031,NaN,11093.92773,8961.728516,10875.37109,24786.44727,NaN,NaN,62896.23307,100306.7031,10310.34245,24786.44727,-0.114163237,0.562003164,0.964451883,0.835557951,Not significant,Not significant,UCYN-A genome
BDA39250.1,36050.11328,72137.72656,80500.85938,NaN,NaN,NaN,45470.48047,23354.94336,31102.64844,NaN,NaN,NaN,135397.5547,NaN,33309.35742,NaN,18.81724294,18.14135447,2.09855E-10,4.28186E-09,UCYN-A,UCYN-A,UCYN-A genome
BDA39251.1,81184.35156,164022.2813,160986.0313,6409.195313,6591.832031,4775.702637,153905.9219,177318.625,135624.625,12031.18457,11875.09766,2774.484863,553.2642555,5925.57666,155616.3906,8893.589031,4.308468814,4.381131655,0.004697413,0.004494897,UCYN-A,UCYN-A,UCYN-A genome
BDA39252.1,1028.546875,77.98163605,NaN,NaN,NaN,NaN,NaN,NaN,232.6811829,8109.25,NaN,NaN,23718.28516,NaN,232.6811829,8109.25,11.83045934,-4.617112209,0.039886567,0.353967019,UCYN-A,Not significant,UCYN-A genome
BDA39254.1,51485.11328,15355.85254,4313.889648,NaN,NaN,NaN,10262.66797,8177.85498,9243.015625,53630.05078,NaN,NaN,18927.95508,NaN,9227.846192,53630.05078,17.74224264,-0.719680488,1.94882E-07,0.789126124,UCYN-A,Not significant,UCYN-A genome
BDA39255.1,21156.09375,18138.43164,17489.33984,NaN,NaN,NaN,13037.85938,11775.38574,11578.44141,NaN,NaN,NaN,17651.80794,NaN,12130.56218,NaN,17.20525968,16.6999789,7.34125E-08,6.34018E-07,UCYN-A,UCYN-A,UCYN-A genome
BDA39256.1,12415.85938,22812.12109,17727.44336,NaN,NaN,NaN,6346.890625,5149.368164,1771.198242,NaN,NaN,NaN,7097.21403,NaN,4422.485677,NaN,17.0299644,15.1566793,1.45434E-07,5.34292E-06,UCYN-A,UCYN-A,UCYN-A genome
BDA39257.1,4986.546875,7998.839355,8306.255859,NaN,NaN,NaN,1826.122559,2787.92334,2497.724365,NaN,NaN,22339.80664,448.1673279,NaN,2370.590088,22339.80664,15.70130137,-1.45325948,2.25322E-06,0.613756088,UCYN-A,Not significant,UCYN-A genome
BDA39258.1,499.3545532,396.9801025,NaN,NaN,NaN,NaN,1299.718994,7753.943359,1351.763062,NaN,NaN,NaN,39206.49219,NaN,3468.475138,NaN,11.37438939,14.85527281,0.041722422,2.21723E-05,UCYN-A,UCYN-A,UCYN-A genome
BDA39259.1,52378.12109,20713.54297,44527.8125,NaN,NaN,NaN,53606.97266,5707.570801,8425.006836,NaN,NaN,NaN,138442.4792,NaN,22579.8501,NaN,18.27369081,17.45877443,7.96103E-09,2.03677E-07,UCYN-A,UCYN-A,UCYN-A genome
BDA39264.1,159766.4063,125723.7734,129837.2578,NaN,NaN,NaN,326175.8125,244335.7813,272916.9063,NaN,NaN,NaN,16083.16113,NaN,281142.8334,NaN,20.08064234,21.2326671,1.91975E-11,4.51772E-13,UCYN-A,UCYN-A,UCYN-A genome
BDA39265.1,24847.01758,13099.78418,10302.68164,NaN,NaN,NaN,3274.680908,4964.672852,6337.736816,NaN,NaN,NaN,4614.224121,NaN,4859.030192,NaN,17.05853979,15.44039622,2.24594E-07,5.34653E-06,UCYN-A,UCYN-A,UCYN-A genome
BDA39266.1,4614.224121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1022.103332,NaN,NaN,NaN,13.91735537,0,0.042334839,1,UCYN-A,Not significant,UCYN-A genome
BDA39269.1,1380.276245,1088.668945,597.3648071,NaN,NaN,NaN,5877.236328,903.1884155,1024.322998,NaN,NaN,NaN,2745.510661,NaN,2601.582581,NaN,13.05748101,14.34982546,0.002571702,5.93708E-05,UCYN-A,UCYN-A,UCYN-A genome
BDA39272.1,4944.583984,1076.61084,2215.337158,NaN,NaN,NaN,1586.204834,2615.943848,1623.906616,NaN,NaN,NaN,9992.373699,NaN,1942.018433,NaN,14.53395642,14.05415757,0.000321208,4.11386E-05,UCYN-A,UCYN-A,UCYN-A genome
BDA39273.1,9219.21582,18095.25391,2662.651367,11964.17969,14335.86426,NaN,2858.769287,2586.515625,4868.786621,NaN,NaN,NaN,63807.84571,13150.02198,3438.023844,NaN,0.151614954,14.94768448,0.944133496,1.03829E-05,Not significant,UCYN-A,UCYN-A genome
BDA39274.1,19195.43555,127488.9922,44739.10938,NaN,99097.08594,NaN,13200.44824,25110.58789,9861.976563,NaN,NaN,6094.915527,4238.145081,99097.08594,16057.6709,6094.915527,0.688379906,3.123658176,0.789368913,0.266312221,Not significant,Not significant,UCYN-A genome
BDA39278.1,1001.659302,NaN,7474.630859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14212.58496,NaN,NaN,NaN,14.1749349,0,0.007864831,1,UCYN-A,Not significant,UCYN-A genome
BDA39281.1,13360.46094,20224.13477,9053.15918,NaN,NaN,NaN,14089.45215,16493.125,18467.45313,NaN,NaN,3377758.5,13124.44808,NaN,16350.01009,3377758.5,16.7864416,-5.902504968,3.23605E-07,0.072425006,UCYN-A,Not significant,UCYN-A genome
BDA39285.1,28916.55469,6190.563965,4266.225586,NaN,NaN,NaN,24446.84961,28702.58203,23273.17383,20246.00391,NaN,NaN,11783.42456,NaN,25474.20182,20246.00391,16.88309904,2.146730474,6.86798E-07,0.422075315,UCYN-A,Not significant,UCYN-A genome
BDA39286.1,3649.135986,16396.90234,15304.23535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11923.99642,NaN,NaN,NaN,16.35278736,0,8.85378E-07,1,UCYN-A,Not significant,UCYN-A genome
BDA39288.1,21597.4043,8155.58252,6019.002441,NaN,5206.046387,NaN,27620.65625,21938.04688,24414.76172,2973.692871,NaN,3335.723389,37901.22201,5206.046387,24657.82162,3154.70813,2.774206315,3.752889705,0.325691275,0.092057886,Not significant,Not significant,UCYN-A genome
BDA39291.1,26736.01758,47738.98438,39228.66406,10688.18066,3500.791992,7538.949219,66811.32031,71872.98438,66240.40625,7859.253418,5620.876953,6203.681152,4576.801758,7242.640624,68308.23698,6561.270508,2.232023457,3.619687494,0.137243623,0.015152221,Not significant,UCYN-A,UCYN-A genome
BDA39292.1,8102.713867,1050.889648,NaN,NaN,NaN,1173.563599,5357.760254,2130.31543,2817.061768,NaN,NaN,NaN,8885.400715,1173.563599,3435.045817,NaN,3.034812253,14.84048382,0.427800515,1.28089E-05,Not significant,UCYN-A,UCYN-A genome
BDA39293.1,4624.229492,13022.71484,9009.257813,NaN,NaN,NaN,8056.723145,6251.99707,6233.882813,NaN,NaN,NaN,102829.1458,NaN,6847.534343,NaN,16.00768806,15.86486156,1.47106E-06,3.08686E-06,UCYN-A,UCYN-A,UCYN-A genome
BDA39294.1,43723.15625,130708.8906,134055.3906,17986.11523,15848.0293,14170.83301,63176.64453,72149.625,72732.63281,18713.34766,24419.10547,28357.79492,121363.4427,16001.65918,69352.96745,23830.08268,2.438430094,1.793062005,0.083026111,0.19040267,Not significant,Not significant,UCYN-A genome
BDA39295.1,14065.72266,50216.32422,299808.2813,4411.399902,NaN,NaN,25903.64844,27255.46289,24891.73047,NaN,NaN,NaN,59234.78516,4411.399902,26016.94727,NaN,6.101845907,17.80466325,0.037197538,9.91795E-09,UCYN-A,UCYN-A,UCYN-A genome
BDA39296.1,54482.08594,65836.84375,57385.42578,NaN,NaN,23026.125,93448.17188,104918.4063,95002.22656,3249.641113,5935.953125,2159.427002,3290.769775,23026.125,97789.60158,3781.673747,2.695193111,4.959381209,0.303777205,0.001665207,Not significant,UCYN-A,UCYN-A genome
BDA39299.1,3290.769775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14321.19369,NaN,NaN,NaN,13.42972689,0,0.062157423,1,Not significant,Not significant,UCYN-A genome
BDA39300.1,27051.75,9239.236328,6672.594727,71187.72656,46621,50375.96875,37670.90625,33257.76172,28080.53906,30195.66992,43805.94531,47906.83594,20100.42859,56061.5651,33003.06901,40636.15039,-1.905245879,-0.081654689,0.189750867,0.951332749,Not significant,Not significant,UCYN-A genome
BDA39306.1,833.9146729,55971.05078,3496.320313,NaN,NaN,NaN,17801.2832,16999.34375,19716.16797,NaN,NaN,NaN,5685.917645,NaN,18172.26497,NaN,17.1752178,17.30341444,1.86122E-06,8.74801E-08,UCYN-A,UCYN-A,UCYN-A genome
BDA39310.1,4169.575684,11400.9502,1487.227051,NaN,NaN,NaN,31083.88672,19787.01172,35522.84375,NaN,NaN,NaN,683.1595766,NaN,28797.91406,NaN,15.46170378,17.98121464,1.1017E-05,4.98888E-09,UCYN-A,UCYN-A,UCYN-A genome
BDA39311.1,219.9639282,1146.355225,NaN,NaN,92.67965698,NaN,NaN,259.3308105,NaN,NaN,NaN,NaN,1791.912415,92.67965698,259.3308105,NaN,3.705238165,9.498566538,0.445700241,0.05047982,Not significant,Not significant,UCYN-A genome
BDA39314.1,2038.287354,814.0817261,2523.368164,NaN,NaN,NaN,2290.45166,1541.037598,1164.441162,NaN,NaN,NaN,3263.473145,NaN,1665.31014,NaN,13.76838658,13.78925597,0.001532952,4.72724E-05,UCYN-A,UCYN-A,UCYN-A genome
BDA39318.1,3387.111328,3292.084473,3111.223633,NaN,NaN,NaN,12520.15234,15822.36328,13360.69043,2163.36084,3268.98584,1408.088257,7658.910563,NaN,13901.06868,2280.144979,14.65406625,2.871509453,0.00014117,0.094737991,UCYN-A,Not significant,UCYN-A genome
BDA39319.1,2538.949463,8842.213867,11595.56836,NaN,NaN,NaN,7139.553223,7409.80957,5306.129883,NaN,NaN,NaN,4952.953125,NaN,6618.497559,NaN,15.71574118,15.80670436,2.68672E-06,2.60195E-06,UCYN-A,UCYN-A,UCYN-A genome
BDA39321.1,4952.953125,NaN,NaN,NaN,NaN,NaN,2672.455322,1277.682739,1717.323853,NaN,NaN,NaN,21449.94133,NaN,1889.153971,NaN,14.01955052,13.99593502,0.039278649,4.03981E-05,UCYN-A,UCYN-A,UCYN-A genome
BDA39323.1,1501.926025,61696.08594,1151.812012,NaN,NaN,NaN,7097.544922,6652.458984,7814.547363,NaN,NaN,NaN,485529.5521,NaN,7188.183756,NaN,17.284261,15.96530258,2.88796E-06,2.55319E-06,UCYN-A,UCYN-A,UCYN-A genome
BDA39326.1,348281.0938,529427,578880.5625,NaN,37540.42578,11856.66992,237772.9219,247745.8906,231020.6875,20666.14453,12044.81055,13204.83887,52241.65755,24698.54785,238846.5,15305.26465,4.63196827,4.202427897,0.036164729,0.004703714,UCYN-A,UCYN-A,UCYN-A genome
BDA39327.1,40115.95313,55186.51953,61422.5,NaN,NaN,NaN,49242.90625,55848.65234,45944.44531,NaN,NaN,NaN,2495.629232,NaN,50345.33463,NaN,18.59176235,18.7524058,7.17875E-10,2.13498E-10,UCYN-A,UCYN-A,UCYN-A genome
BDA39329.1,2747.247803,2474.651611,2264.988281,NaN,NaN,NaN,3949.454102,5551.369141,5101.136719,NaN,NaN,NaN,35624.43815,NaN,4867.319987,NaN,14.28088398,15.40595292,0.000521962,4.09562E-06,UCYN-A,UCYN-A,UCYN-A genome
BDA39332.1,27961.44336,43857.98438,35053.88672,NaN,2560.655029,NaN,79587.375,67229.36719,78347.21875,6199.674316,NaN,NaN,17968.97591,2560.655029,75054.65365,6199.674316,5.179860112,5.424421264,0.073191722,0.050052617,Not significant,Not significant,UCYN-A genome
BDA39334.1,16765.24023,17625.25781,19516.42969,121867.375,NaN,NaN,12488.76367,11455.38281,11939.45703,11861.69531,NaN,20219.99219,63657.57715,121867.375,11961.20117,16040.84375,-1.16863596,0.361678407,0.656219681,0.864966952,Not significant,Not significant,UCYN-A genome
BDA39338.1,10833.55176,92743.20313,87395.97656,1980.601074,NaN,883.6074829,21901.34375,14489.75488,21823.89844,524.8214111,NaN,NaN,7183.636556,1432.104278,19404.99902,524.8214111,5.821042207,7.041020496,0.012071739,0.021505303,UCYN-A,UCYN-A,UCYN-A genome
