target,similarity,From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (GO),Active site,Binding site,Catalytic activity,Cofactor,EC number,Function [CC],Pathway,Rhea ID,Site,Subunit structure,Chain,Signal peptide,AlphaFoldDB
A0A2P6V489,0.9958999752998352,A0A2P6V489,A0A2P6V489,unreviewed,A0A2P6V489_9CHLO,MMS19 nucleotide excision repair protein,C2E20_7619,Micractinium conductrix,2194.0,CIA complex [GO:0097361]; nucleus [GO:0005634]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; DNA repair [GO:0006281]; iron-sulfur cluster assembly [GO:0016226]; protein maturation by iron-sulfur cluster transfer [GO:0097428],,"BINDING 295; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000256|PROSITE-ProRule:PRU10141""",,,,"FUNCTION: Key component of the cytosolic iron-sulfur protein assembly (CIA) complex, a multiprotein complex that mediates the incorporation of iron-sulfur cluster into apoproteins specifically involved in DNA metabolism and genomic integrity. In the CIA complex, MMS19 acts as an adapter between early-acting CIA components and a subset of cellular target iron-sulfur proteins. {ECO:0000256|RuleBase:RU367072}.",,,,,,,
R1D0C1,0.9955999851226807,R1D0C1,R1D0C1,unreviewed,R1D0C1_EMIHU,TIR domain-containing protein,EMIHUDRAFT_107867,Emiliania huxleyi (Coccolithophore) (Pontosphaera huxleyi),2774.0,membrane [GO:0016020]; serine-type endopeptidase inhibitor activity [GO:0004867]; response to wounding [GO:0009611]; signal transduction [GO:0007165],,,,,,,,,,,,,
A0A2P6TDQ2,0.9961000084877014,A0A2P6TDQ2,A0A2P6TDQ2,unreviewed,A0A2P6TDQ2_CHLSO,Meiotic nuclear division 1,C2E21_8648,Chlorella sorokiniana (Freshwater green alga),872.0,membrane [GO:0016020],,,,,,,,,,,,,A0A2P6TDQ2;
A0A7J6QG48,0.9955000281333923,A0A7J6QG48,A0A7J6QG48,unreviewed,A0A7J6QG48_PEROL,Acyl-protein thioesterase,LYPLA1_7 FOZ62_031782,Perkinsus olseni (Perkinsus atlanticus),435.0,hydrolase activity [GO:0016787],,,,,,,,,,,,,A0A7J6QG48;
A0A0G4HVS9,0.9957000017166138,A0A0G4HVS9,A0A0G4HVS9,unreviewed,A0A0G4HVS9_9ALVE,LNR domain-containing protein,Cvel_8867,Chromera velia CCMP2878,1323.0,transferase activity [GO:0016740],,,,,,,,,,,,,
A0A813DLS6,0.9961000084877014,A0A813DLS6,A0A813DLS6,unreviewed,A0A813DLS6_POLGL,Cytochrome P450,PGLA1383_LOCUS6293,Polarella glacialis (Dinoflagellate),1114.0,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",,,,,,,,,,,,,A0A813DLS6;
A0A813K7B4,0.9952999949455261,A0A813K7B4,A0A813K7B4,unreviewed,A0A813K7B4_POLGL,N-acetyltransferase domain-containing protein,PGLA2088_LOCUS28209,Polarella glacialis (Dinoflagellate),1582.0,membrane [GO:0016020],,,,,,,,,,,"CHAIN 23..1582; /note=""N-acetyltransferase domain-containing protein""; /evidence=""ECO:0000256|SAM:SignalP""; /id=""PRO_5032539390""","SIGNAL 1..22; /evidence=""ECO:0000256|SAM:SignalP""",
A0A813BKL7,0.9973000288009644,A0A813BKL7,A0A813BKL7,,A0A813BKL7_SYMMI,deleted,,,,,,,,,,,,,,,,,
A0A812J6B7,0.9955000281333923,A0A812J6B7,A0A812J6B7,,A0A812J6B7_SYMMI,deleted,,,,,,,,,,,,,,,,,
A0A7S4QKJ0,0.9966999888420105,A0A7S4QKJ0,A0A7S4QKJ0,unreviewed,A0A7S4QKJ0_9DINO,Nuclear pore complex protein,AMON00008_LOCUS21530,Alexandrium monilatum,580.0,,,,,,,,,,,,,,A0A7S4QKJ0;
A0A0G4EPS1,0.9966999888420105,A0A0G4EPS1,A0A0G4EPS1,unreviewed,A0A0G4EPS1_VITBC,protein-ribulosamine 3-kinase (EC 2.7.1.172),Vbra_12543,Vitrella brassicaformis (strain CCMP3155),426.0,protein-ribulosamine 3-kinase activity [GO:0102193],,,"CATALYTIC ACTIVITY: Reaction=ATP + N(6)-D-ribulosyl-L-lysyl-[protein] = ADP + H(+) + N(6)-(3-O-phospho-D-ribulosyl)-L-lysyl-[protein]; Xref=Rhea:RHEA:48432, Rhea:RHEA-COMP:12103, Rhea:RHEA-COMP:12104, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:90418, ChEBI:CHEBI:90420, ChEBI:CHEBI:456216; EC=2.7.1.172; Evidence={ECO:0000256|ARBA:ARBA00001616}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:48433; Evidence={ECO:0000256|ARBA:ARBA00001616};",,2.7.1.172,,,RHEA:48432,,,,,A0A0G4EPS1;
A0A830HH62,0.9965999722480774,A0A830HH62,A0A830HH62,unreviewed,A0A830HH62_9CHLO,Amine oxidase domain-containing protein,PPROV_000384200,Pycnococcus provasolii,513.0,,,,,,,,,,,,,,A0A830HH62;
A0A812NLQ4,0.9958000183105469,A0A812NLQ4,A0A812NLQ4,unreviewed,A0A812NLQ4_9DINO,dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83),DPM1 STRI2592_LOCUS16785,Symbiodinium sp. CCMP2592,1435.0,membrane [GO:0016020]; dolichyl-phosphate beta-D-mannosyltransferase activity [GO:0004582],,,,,2.4.1.83,,,,,,,,
R1E8P8,0.9961000084877014,R1E8P8,R1E8P8,unreviewed,R1E8P8_EMIHU,NADH:ubiquinone oxidoreductase intermediate-associated protein 30 domain-containing protein,EMIHUDRAFT_447797,Emiliania huxleyi (Coccolithophore) (Pontosphaera huxleyi),401.0,,,,,,,,,,,,,,
A0A1Y1IEJ8,0.9980000257492065,A0A1Y1IEJ8,A0A1Y1IEJ8,unreviewed,A0A1Y1IEJ8_KLENI,ABC transporter family protein,KFL_004810060,Klebsormidium nitens (Green alga) (Ulothrix nitens),829.0,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],,,,,,,,,,,,,A0A1Y1IEJ8;
Q4DDS8,0.9970999956130981,Q4DDS8,Q4DDS8,unreviewed,Q4DDS8_TRYCC,DNA-(apurinic or apyrimidinic site) endonuclease (EC 3.1.-.-),Tc00.1047053509901.170,Trypanosoma cruzi (strain CL Brener),401.0,endonuclease activity [GO:0004519]; lyase activity [GO:0016829]; metal ion binding [GO:0046872]; DNA repair [GO:0006281],"ACT_SITE 237; /evidence=""ECO:0000256|PIRSR:PIRSR604808-1""; ACT_SITE 290; /note=""Proton donor/acceptor""; /evidence=""ECO:0000256|PIRSR:PIRSR604808-1""; ACT_SITE 392; /note=""Proton acceptor""; /evidence=""ECO:0000256|PIRSR:PIRSR604808-1""","BINDING 108; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /ligand_label=""1""; /evidence=""ECO:0000256|PIRSR:PIRSR604808-2""; BINDING 139; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /ligand_label=""1""; /evidence=""ECO:0000256|PIRSR:PIRSR604808-2""; BINDING 290; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /ligand_label=""1""; /evidence=""ECO:0000256|PIRSR:PIRSR604808-2""; BINDING 292; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /ligand_label=""1""; /evidence=""ECO:0000256|PIRSR:PIRSR604808-2""; BINDING 391; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /ligand_label=""1""; /evidence=""ECO:0000256|PIRSR:PIRSR604808-2""; BINDING 392; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /ligand_label=""1""; /evidence=""ECO:0000256|PIRSR:PIRSR604808-2""",,"COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000256|PIRSR:PIRSR604808-2, ECO:0000256|RuleBase:RU362131}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000256|PIRSR:PIRSR604808-2, ECO:0000256|RuleBase:RU362131}; Note=Probably binds two magnesium or manganese ions per subunit. {ECO:0000256|PIRSR:PIRSR604808-2, ECO:0000256|RuleBase:RU362131};",3.1.-.-,,,,"SITE 292; /note=""Transition state stabilizer""; /evidence=""ECO:0000256|PIRSR:PIRSR604808-3""; SITE 366; /note=""Important for catalytic activity""; /evidence=""ECO:0000256|PIRSR:PIRSR604808-3""; SITE 392; /note=""Interaction with DNA substrate""; /evidence=""ECO:0000256|PIRSR:PIRSR604808-3""",,,,Q4DDS8;
A0A2J8AGS3,0.9965000152587891,A0A2J8AGS3,A0A2J8AGS3,unreviewed,A0A2J8AGS3_9CHLO,GST C-terminal domain-containing protein,TSOC_001418,Tetrabaena socialis,824.0,glutathione transferase activity [GO:0004364]; response to chemical [GO:0042221],,,,,,,,,,,,,A0A2J8AGS3;
R1CCX4,0.9968000054359436,R1CCX4,R1CCX4,unreviewed,R1CCX4_EMIHU,Mono(ADP-ribosyl)transferase,EMIHUDRAFT_101896,Emiliania huxleyi (Coccolithophore) (Pontosphaera huxleyi),887.0,membrane [GO:0016020],,,,,,,,,,,"CHAIN 23..887; /note=""Mono(ADP-ribosyl)transferase""; /evidence=""ECO:0000256|SAM:SignalP""; /id=""PRO_5014590294""","SIGNAL 1..22; /evidence=""ECO:0000256|SAM:SignalP""",
A0A7S2VNA4,0.9970999956130981,A0A7S2VNA4,A0A7S2VNA4,unreviewed,A0A7S2VNA4_9DINO,PDZ domain-containing protein,BRAN1462_LOCUS58367,Zooxanthella nutricula,587.0,,,,,,,,,,,,,,A0A7S2VNA4;
R1FCR2,0.9962999820709229,R1FCR2,R1FCR2,unreviewed,R1FCR2_EMIHU,Ion transport domain-containing protein,EMIHUDRAFT_201068,Emiliania huxleyi (Coccolithophore) (Pontosphaera huxleyi),1353.0,membrane [GO:0016020]; calcium channel activity [GO:0005262],,,,,,,,,,,,,
A0A812WLL6,0.9958000183105469,A0A812WLL6,A0A812WLL6,,A0A812WLL6_SYMMI,deleted,,,,,,,,,,,,,,,,,
A0A8J2WPN6,0.9951000213623047,A0A8J2WPN6,A0A8J2WPN6,unreviewed,A0A8J2WPN6_9STRA,Pre-mRNA-splicing factor SLU7,PECAL_4P27070,Pelagomonas calceolata,657.0,,,,,,,,,,,,,,
L2GFA6,0.9975000023841858,L2GFA6,L2GFA6,unreviewed,L2GFA6_COLFN,Cofilin (Actin-depolymerizing factor 1),CGGC5_3666,Colletotrichum fructicola (strain Nara gc5) (Anthracnose fungus) (Colletotrichum gloeosporioides (strain Nara gc5)),722.0,actin cytoskeleton [GO:0015629]; mitochondrial intermembrane space [GO:0005758]; mitochondrial nucleoid [GO:0042645]; nuclear matrix [GO:0016363]; post-mRNA release spliceosomal complex [GO:0071014]; actin binding [GO:0003779]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; DNA replication origin binding [GO:0003688]; protein-folding chaperone binding [GO:0051087]; single-stranded DNA binding [GO:0003697]; unfolded protein binding [GO:0051082]; 'de novo' protein folding [GO:0006458]; actin filament depolymerization [GO:0030042]; chaperone-mediated protein complex assembly [GO:0051131]; protein import into mitochondrial intermembrane space [GO:0045041]; protein refolding [GO:0042026]; protein stabilization [GO:0050821],,,,,,,,,,,,,
A0A7S1NRP4,0.9962000250816345,A0A7S1NRP4,A0A7S1NRP4,unreviewed,A0A7S1NRP4_9EUGL,Plastid lipid-associated protein/fibrillin conserved domain-containing protein,EGYM00392_LOCUS49289,Eutreptiella gymnastica,685.0,membrane [GO:0016020],,,,,,,,,,,,,A0A7S1NRP4;
A0A1I8INL2,0.996399998664856,A0A1I8INL2,A0A1I8INL2,unreviewed,A0A1I8INL2_9PLAT,3-phytase,,Macrostomum lignano,520.0,,,,,,,,,,,,"CHAIN 23..520; /evidence=""ECO:0000256|SAM:SignalP""; /id=""PRO_5009321095""","SIGNAL 1..22; /evidence=""ECO:0000256|SAM:SignalP""",A0A1I8INL2;
A0A7S4GJ38,0.9958000183105469,A0A7S4GJ38,A0A7S4GJ38,unreviewed,A0A7S4GJ38_9EUGL,Magnesium-dependent phosphatase-1,EGYM00163_LOCUS49852,Eutreptiella gymnastica,626.0,membrane [GO:0016020]; phosphatase activity [GO:0016791],,,,,,,,,,,,,A0A7S4GJ38;
A0A835Z9C6,0.9962000250816345,A0A835Z9C6,A0A835Z9C6,unreviewed,A0A835Z9C6_9STRA,Tetrahydrofolate dehydrogenase/cyclohydrolase,JKP88DRAFT_197360,Tribonema minus,456.0,hydrolase activity [GO:0016787]; methylenetetrahydrofolate dehydrogenase (NADP+) activity [GO:0004488]; one-carbon metabolic process [GO:0006730],,,,,,,PATHWAY: One-carbon metabolism; tetrahydrofolate interconversion. {ECO:0000256|ARBA:ARBA00004777}.,,,,,,A0A835Z9C6;
A0A7S4PYM6,0.9961000084877014,A0A7S4PYM6,A0A7S4PYM6,unreviewed,A0A7S4PYM6_9DINO,Peptidase S53 activation domain-containing protein,AMON00008_LOCUS6434,Alexandrium monilatum,342.0,membrane [GO:0016020]; serine-type peptidase activity [GO:0008236],,,,,,,,,,,"CHAIN 17..342; /note=""Peptidase S53 activation domain-containing protein""; /evidence=""ECO:0000256|SAM:SignalP""; /id=""PRO_5031511058""","SIGNAL 1..16; /evidence=""ECO:0000256|SAM:SignalP""",A0A7S4PYM6;
R1BP43,0.996999979019165,R1BP43,R1BP43,unreviewed,R1BP43_EMIHU,Peptidase S9 prolyl oligopeptidase catalytic domain-containing protein,EMIHUDRAFT_427966,Emiliania huxleyi (Coccolithophore) (Pontosphaera huxleyi),724.0,serine-type peptidase activity [GO:0008236]; proteolysis [GO:0006508],,,,,,,,,,,"CHAIN 20..724; /note=""Peptidase S9 prolyl oligopeptidase catalytic domain-containing protein""; /evidence=""ECO:0000256|SAM:SignalP""; /id=""PRO_5014590001""","SIGNAL 1..19; /evidence=""ECO:0000256|SAM:SignalP""",
A0A448Z892,0.9961000084877014,A0A448Z892,A0A448Z892,unreviewed,A0A448Z892_9STRA,Peptidase A2 domain-containing protein,PSNMU_V1.4_AUG-EV-PASAV3_0050400,Pseudo-nitzschia multistriata,594.0,,,,,,,,,,,,,,
A0A1Q9C7Q0,0.9959999918937683,A0A1Q9C7Q0,A0A1Q9C7Q0,unreviewed,A0A1Q9C7Q0_SYMMI,Cryptochrome DASH,cry AK812_SmicGene40810,Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica),1099.0,,,,,COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000256|ARBA:ARBA00001974};,,,,,"SITE 564; /note=""Electron transfer via tryptophanyl radical""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-2""; SITE 617; /note=""Electron transfer via tryptophanyl radical""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-2""; SITE 640; /note=""Electron transfer via tryptophanyl radical""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-2""",,,,A0A1Q9C7Q0;
A0A1Q9C7Q0,0.9965999722480774,A0A1Q9C7Q0,A0A1Q9C7Q0,unreviewed,A0A1Q9C7Q0_SYMMI,Cryptochrome DASH,cry AK812_SmicGene40810,Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica),1099.0,,,,,COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000256|ARBA:ARBA00001974};,,,,,"SITE 564; /note=""Electron transfer via tryptophanyl radical""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-2""; SITE 617; /note=""Electron transfer via tryptophanyl radical""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-2""; SITE 640; /note=""Electron transfer via tryptophanyl radical""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-2""",,,,A0A1Q9C7Q0;
R1G372,0.9962000250816345,R1G372,R1G372,unreviewed,R1G372_EMIHU,Protein SirB1 N-terminal domain-containing protein,EMIHUDRAFT_108529 EMIHUDRAFT_121482,Emiliania huxleyi (Coccolithophore) (Pontosphaera huxleyi),471.0,,,,,,,,,,,,,,
A0A2N1JC42,0.9954000115394592,A0A2N1JC42,A0A2N1JC42,unreviewed,A0A2N1JC42_9BASI,NIPSNAP domain-containing protein,MVES_002135,Malassezia vespertilionis,655.0,ribonuclease P complex [GO:0030677]; tRNA 5'-leader removal [GO:0001682],,,,,,,,,,,,,A0A2N1JC42;
A0A812Y0C4,0.9972000122070312,A0A812Y0C4,A0A812Y0C4,unreviewed,A0A812Y0C4_SYMPI,Cry-dash protein,cry-dash SPIL2461_LOCUS21918,Symbiodinium pilosum (Dinoflagellate),557.0,,,"BINDING 458..460; /ligand=""FAD""; /ligand_id=""ChEBI:CHEBI:57692""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-1""",,COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000256|PIRSR:PIRSR602081-1}; Note=Binds 1 FAD per subunit. {ECO:0000256|PIRSR:PIRSR602081-1};,,,,,"SITE 392; /note=""Electron transfer via tryptophanyl radical""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-2""; SITE 445; /note=""Electron transfer via tryptophanyl radical""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-2""; SITE 468; /note=""Electron transfer via tryptophanyl radical""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-2""",,,,A0A812Y0C4;
C1E165,0.995199978351593,C1E165,C1E165,unreviewed,C1E165_MICCC,Rab3 GTPase-activating protein catalytic subunit,MICPUN_56761,Micromonas commoda (strain RCC299 / NOUM17 / CCMP2709) (Picoplanktonic green alga),1002.0,,,,,,,,,,,,,,C1E165;
A0A7S0Q2H1,0.9958999752998352,A0A7S0Q2H1,A0A7S0Q2H1,unreviewed,A0A7S0Q2H1_9EUKA,N-acetyltransferase domain-containing protein,CPEL01642_LOCUS16144,Coccolithus braarudii,359.0,"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]",,,,,,,,,,,,,A0A7S0Q2H1;
A0A812QGY7,0.996399998664856,A0A812QGY7,A0A812QGY7,unreviewed,A0A812QGY7_9DINO,CBBY protein,CBBY SNAT2548_LOCUS20292,Symbiodinium natans,1900.0,membrane [GO:0016020]; hydrolase activity [GO:0016787],,,,,,,,,,,,,
A0A812TNU1,0.9955999851226807,A0A812TNU1,A0A812TNU1,unreviewed,A0A812TNU1_9DINO,Cpr-c2 protein,cpr-c2 SLIN2456_LOCUS17827,Symbiodinium sp. CCMP2456,489.0,oxidoreductase activity [GO:0016491],,,,,,,,,,,,,A0A812TNU1;
